old_track_uri,new_track_uri
spotify:track:3tVfzW8CdN70QKQ4q6Qwac,spotify:track:7MBbfqcqfPmS3lHU0ceLQy
spotify:track:7MBbfqcqfPmS3lHU0ceLQy,spotify:track:7MBbfqcqfPmS3lHU0ceLQy
spotify:track:1K74KqElPPqwskxSc63YTf,spotify:track:4Sjn46VQ43ngZjHdEEJwMn
spotify:track:4Sjn46VQ43ngZjHdEEJwMn,spotify:track:4Sjn46VQ43ngZjHdEEJwMn
spotify:track:3rpEeosiPnfg9ZrY7CQo0h,spotify:track:1GWtUkDQk7XC35r7kTPfqx
spotify:track:1GWtUkDQk7XC35r7kTPfqx,spotify:track:1GWtUkDQk7XC35r7kTPfqx
spotify:track:5hsq03E3do2gWhyOVV2Api,spotify:track:7cRGgrQ9eg8V8A4FsSj020
spotify:track:7cRGgrQ9eg8V8A4FsSj020,spotify:track:7cRGgrQ9eg8V8A4FsSj020
spotify:track:3vWx45bv3MUDpxHEq2SlGa,spotify:track:3mJBpjkoGVZdAFgo4xeeIL
spotify:track:3mJBpjkoGVZdAFgo4xeeIL,spotify:track:3mJBpjkoGVZdAFgo4xeeIL
spotify:track:70W08GzuWzxIGe8sC1Noso,spotify:track:31Rxsu5Ad0U5ToQKQWYAK1
spotify:track:31Rxsu5Ad0U5ToQKQWYAK1,spotify:track:31Rxsu5Ad0U5ToQKQWYAK1
spotify:track:5tEDjnDqhW92i1zzx3f5wn,spotify:track:7vxtxgtlAecGklW2gomanZ
spotify:track:7vxtxgtlAecGklW2gomanZ,spotify:track:7vxtxgtlAecGklW2gomanZ
spotify:track:4gdSgHwfMeB6Ri5fS43SUW,spotify:track:0uI04snzWtUJ3WkYbJ7gHh
spotify:track:0uI04snzWtUJ3WkYbJ7gHh,spotify:track:0uI04snzWtUJ3WkYbJ7gHh
spotify:track:7fVNEKI7aAaZc1T7JkLmub,spotify:track:4ZF3jGBNbIRd24sZ88tZPi
